state_code,region_name,year,consumption_gwh,consumption_million_kwh
TN,Tennessee,2021,99621.13698,99621.13698
TX,Texas,2021,435627.87798,435627.87798
UT,Utah,2021,32677.62701,32677.62701
VT,Vermont,2021,5412.69602,5412.69602
VA,Virginia,2021,125245.19598,125245.19598
WA,Washington,2021,88198.668,88198.668
WV,West Virginia,2021,32777.98802,32777.98802
WI,Wisconsin,2021,69426.61502,69426.61502
WY,Wyoming,2021,15784.712,15784.712
AL,Alabama,2022,87027.54499,87027.54499
AK,Alaska,2022,6002.08,6002.08
AZ,Arizona,2022,84196.51702,84196.51702
AR,Arkansas,2022,48997.66299,48997.66299
CA,California,2022,251869.136,251869.136
CO,Colorado,2022,56763.04099,56763.04099
CT,Connecticut,2022,27767.146,27767.146
DE,Delaware,2022,11539.27099,11539.27099
DC,District of Columbia,2022,10241.534,10241.534
FL,Florida,2022,248820.80301,248820.80301
GA,Georgia,2022,145035.20397,145035.20397
HI,Hawaii,2022,9039.11501,9039.11501
ID,Idaho,2022,26201.131,26201.131
IL,Illinois,2022,135871.58,135871.58
IN,Indiana,2022,100044.36496,100044.36496
IA,Iowa,2022,54203.95499,54203.95499
KS,Kansas,2022,41961.06503,41961.06503
KY,Kentucky,2022,75338.74199,75338.74199
LA,Louisiana,2022,95138.99799,95138.99799
ME,Maine,2022,11875.708,11875.708
MD,Maryland,2022,59682.71902,59682.71902
MA,Massachusetts,2022,50983.44001,50983.44001
MI,Michigan,2022,100639.26202,100639.26202
MN,Minnesota,2022,66635.43002,66635.43002
MS,Mississippi,2022,48979.533,48979.533
MO,Missouri,2022,80306.26002,80306.26002
MT,Montana,2022,15583.78301,15583.78301
NE,Nebraska,2022,33844.10502,33844.10502
NV,Nevada,2022,39320.007,39320.007
NH,New Hampshire,2022,10818.13,10818.13
NJ,New Jersey,2022,74442.735,74442.735
NM,New Mexico,2022,27156.17798,27156.17798
NY,New York,2022,143210.51698,143210.51698
NC,North Carolina,2022,139206.76104,139206.76104
ND,North Dakota,2022,25392.877,25392.877
OH,Ohio,2022,149499.78299,149499.78299
OK,Oklahoma,2022,69486.94202,69486.94202
OR,Oregon,2022,56326.89599,56326.89599
PA,Pennsylvania,2022,145044.59215,145044.59215
RI,Rhode Island,2022,7576.284,7576.284
SC,South Carolina,2022,82758.43201,82758.43201
SD,South Dakota,2022,13467.06401,13467.06401
TN,Tennessee,2022,102112.05101,102112.05101
TX,Texas,2022,475401.19206,475401.19206
UT,Utah,2022,33365.50101,33365.50101
VT,Vermont,2022,5470.47101,5470.47101
VA,Virginia,2022,132264.61703,132264.61703
WA,Washington,2022,90897.31998,90897.31998
WV,West Virginia,2022,32986.288,32986.288
WI,Wisconsin,2022,69875.87103,69875.87103
WY,Wyoming,2022,16499.42898,16499.42898
AL,Alabama,2023,84880.35899,84880.35899
AK,Alaska,2023,6024.59801,6024.59801
AZ,Arizona,2023,85918.79798,85918.79798
AR,Arkansas,2023,48649.29999,48649.29999
CA,California,2023,239480.45202,239480.45202
CO,Colorado,2023,55565.81899,55565.81899
CT,Connecticut,2023,26685.176,26685.176
DE,Delaware,2023,11081.67099,11081.67099
DC,District of Columbia,2023,9879.714,9879.714
FL,Florida,2023,250940.214,250940.214
GA,Georgia,2023,142028.83101,142028.83101
HI,Hawaii,2023,8927.25201,8927.25201
ID,Idaho,2023,25673.977,25673.977
IL,Illinois,2023,130578.21703,130578.21703
IN,Indiana,2023,95995.35001,95995.35001
IA,Iowa,2023,54400.25902,54400.25902
KS,Kansas,2023,41052.008,41052.008
KY,Kentucky,2023,71223.02101,71223.02101
LA,Louisiana,2023,95374.45701,95374.45701
ME,Maine,2023,11336.02999,11336.02999
MD,Maryland,2023,57033.08501,57033.08501
MA,Massachusetts,2023,50011.96399,50011.96399
MI,Michigan,2023,97588.69001,97588.69001
MN,Minnesota,2023,66215.80005,66215.80005
MS,Mississippi,2023,48421.76201,48421.76201
MO,Missouri,2023,76975.79901,76975.79901
MT,Montana,2023,15504.69901,15504.69901
NE,Nebraska,2023,33571.19901,33571.19901
